repo	stars	language	id	name	version	min_herdr	platforms	path	description	url
openclaw/crabbox	1274	Go	crabbox	Crabbox	0.1.0	0.7.0	linux,macos	plugins/herdr/herdr-plugin.toml	Warm remote test boxes, inspect leases, connect, and run repository jobs without leaving Herdr.	https://github.com/openclaw/crabbox
persiyanov/herdr-reviewr	366	Rust	persiyanov.reviewr	reviewr	0.30.1	0.7.5	macos,linux	herdr-plugin.toml	Review agent-written diffs beside the chat and add line comments to the agent input.	https://github.com/persiyanov/herdr-reviewr
smarzban/herdr-file-viewer	361	Rust	herdr-file-viewer	herdr-file-viewer	1.15.0	0.7.0	linux,macos,windows	herdr-plugin.toml	A git-aware, read-only file viewer: a keyboard-driven TUI in a herdr split pane.	https://github.com/smarzban/herdr-file-viewer
AltanS/collie	300	TypeScript	herdr.collie	Collie	0.25.0	0.7.0	linux,macos	herdr-plugin.toml	Mobile web UI to monitor and reply to your agent herd, served over Tailscale	https://github.com/AltanS/collie
ogulcancelik/herdr-browser	277	TypeScript	official.browser	Browser	0.1.0	0.7.4	linux,macos	herdr-plugin.toml	Open and inspect real browser pages from Herdr.	https://github.com/ogulcancelik/herdr-browser
cloudmanic/herdr-plus	212	Go	cloudmanic.herdr-plus	Herdr Plus	0.1.20	0.7.0	linux,macos,windows	herdr-plugin.toml	An extension for herdr — a collection of tools that make it better. Projects: fuzzy-pick a declarative template to spin up a whole workspace — every tab, pane, and startup command. Quick Actions: a fuzzy launcher for one-off scripts, run in the directory you launched from.	https://github.com/cloudmanic/herdr-plus
dcolinmorgan/herdr-remote	205	Python	herdr-remote.relay	Herdr Remote	0.5.0	0.7.0	macos,linux	herdr-plugin.toml	Monitor and approve herdr agents from your phone, menu bar, or Telegram	https://github.com/dcolinmorgan/herdr-remote
nikok6/herdr-mirror	109	Rust	mirror	Herdr Mirror	0.1.17	0.7.2	macos,linux	herdr-plugin.toml	Mirror a remote herdr server's workspaces and agents into the local sidebar	https://github.com/nikok6/herdr-mirror
nicosuave/memex	89	Rust	nicosuave.memex	memex	0.9.0	0.7.0	macos,linux	herdr-plugin.toml	Session desk for your agent history: search every past Claude Code / Codex / Cursor session and resume one into a herdr tab.	https://github.com/nicosuave/memex
devashish2203/herdr-worktrunk	81	Shell	worktrunk	Worktrunk	0.1.0	0.7.0	macos,linux	herdr-plugin.toml	Switch, create, or remove git worktrees via worktrunk	https://github.com/devashish2203/herdr-worktrunk
